Atleta,País,Fase,Tentativa,Distância,Vento
Jianan WANG,CHN,Qualificação,3,0,0
Simon EHAMMER,SUI,Qualificação,3,6.62,-2.9
Filip PRAVDICA,CRO,Qualificação,3,7.59,-0.7
Wayne PINNOCK,JAM,Qualificação,3,7.68,-2.4
Mingkun ZHANG,CHN,Qualificação,3,7.92,0
Arnovis DALMERO,COL,Qualificação,3,7.78,2.2
Thobias MONTLER,SWE,Qualificação,3,7.82,0.3
Christopher MITREVSKI,AUS,Qualificação,3,6.47,-1.6
Tajay GAYLE,JAM,Qualificação,3,7.63,0.7
Malcolm CLEMONS,USA,Qualificação,3,7.72,-0.1
Yu-Tang LIN,TPE,Qualificação,3,7.66,0.1
Jeswin ALDRIN,IND,Qualificação,3,7.61,-0.1
Tom CAMPAGNE,FRA,Qualificação,3,7.51,0.3
Cheswill JOHNSON,RSA,Qualificação,3,0,-1.8
Jarrion LAWSON,USA,Qualificação,3,0,0.3
Miltiadis TENTOGLOU,GRE,Final,3,8.24,-0.4
Wayne PINNOCK,JAM,Final,3,7.99,0
Mattia FURLANI,ITA,Final,3,0,-0.5
Simon EHAMMER,SUI,Final,3,8.11,1.2
Jacob FINCHAM-DUKES,GBR,Final,3,0,-0.5
Simon BATZ,GER,Final,3,7.79,0.2
Mingkun ZHANG,CHN,Final,3,8.07,0.6
Jianan WANG,CHN,Final,3,7.92,-0.2
Filip PRAVDICA,CRO,Final,3,7.87,0.9
Radek JUŠKA,CZE,Final,3,7.83,-0.6
Arnovis DALMERO,COL,Final,3,7.74,-1.3
Carey MCLEOD,JAM,Final,3,7.82,-1.8
Miltiadis TENTOGLOU,GRE,Final,4,8.36,-0.6
Wayne PINNOCK,JAM,Final,4,8.05,0.8
Mattia FURLANI,ITA,Final,4,0,0.1
Simon EHAMMER,SUI,Final,4,7.92,0.7
Jacob FINCHAM-DUKES,GBR,Final,4,0,-0.9
Simon BATZ,GER,Final,4,7.71,0.8
Mingkun ZHANG,CHN,Final,4,0,-0.9
Jianan WANG,CHN,Final,4,0,0
Miltiadis TENTOGLOU,GRE,Final,5,8.31,0.4
Wayne PINNOCK,JAM,Final,5,8.24,0.9
Mattia FURLANI,ITA,Final,5,8.34,0.8
Simon EHAMMER,SUI,Final,5,0,1.7
Jacob FINCHAM-DUKES,GBR,Final,5,0,-0.2
Simon BATZ,GER,Final,5,7.95,0.2
Mingkun ZHANG,CHN,Final,5,7.93,0.6
Miltiadis TENTOGLOU,GRE,Final,6,0,0.2
Wayne PINNOCK,JAM,Final,6,8.12,-0.7
Mattia FURLANI,ITA,Final,6,8.27,0.7
Simon EHAMMER,SUI,Final,6,0,-0.7
Jacob FINCHAM-DUKES,GBR,Final,6,7.64,0.3
Simon BATZ,GER,Final,6,7.94,-0.7
Mingkun ZHANG,CHN,Final,6,0,-0.3
Jianan WANG,CHN,Final,6,8.03,0.3
